nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Cowes,3922,VIC,Cowes,Phillip Island,Gippsland - South West,Latrobe - Gippsland,4
Dalgety,2628,NSW,Paupong,Jindabyne - Berridale,Snowy Mountains,Capital Region,5
Cranbourne,3977,VIC,Sandhurst,Skye - Sandhurst,Frankston,Mornington Peninsula,1
Woodford,4514,QLD,Woodford (Qld),Woodford - D'Aguilar,Caboolture Hinterland,Moreton Bay - North,2
Langwarrin,3910,VIC,Langwarrin,Langwarrin,Frankston,Mornington Peninsula,1
Kerang,3579,VIC,Kerang,Kerang,Murray River - Swan Hill,North West,5
Fairlight,2094,NSW,Fairlight,Manly - Fairlight,Manly,Sydney - Northern Beaches,1
Greenock,5360,SA,Nain,Light,Barossa,Barossa - Yorke - Mid North,4
Brookfield,4069,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,1
Lockwood,3551,VIC,Toolleen,Rushworth,Campaspe,Shepparton,2
Dundas Valley,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,1
Florey,2615,ACT,Strathnairn,Strathnairn,Cotter - Namadgi,Australian Capital Territory,1
Broadbeach Waters,4218,QLD,Mermaid Waters,Mermaid Waters,Surfers Paradise,Gold Coast,1
Blacks Beach,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Marks Point,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,1
Redlynch,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,2
South Lake,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,1
Glebe,2037,NSW,Forest Lodge,Glebe - Forest Lodge,Sydney Inner City,Sydney - City and Inner South,1
Mount Pleasant,6153,WA,Mount Pleasant (WA),Booragoon,Melville,Perth - South West,1
Maffra,3860,VIC,Maffra (Vic.),Maffra,Wellington,Latrobe - Gippsland,5
Port Kennedy,6172,WA,Port Kennedy,Port Kennedy,Rockingham,Perth - South West,1
Athelstone,5076,SA,Athelstone,Athelstone,Tea Tree Gully,Adelaide - North,1
Bendigo,3550,VIC,White Hills (Vic.),White Hills - Ascot,Bendigo,Bendigo,2
Sunbury,3429,VIC,Sunbury,Sunbury - West,Sunbury,Melbourne - North West,1
Merrimac,4226,QLD,Robina,Robina - West,Robina,Gold Coast,1
Coolangatta,4225,QLD,Bilinga,Currumbin - Tugun,Coolangatta,Gold Coast,1
Narangba,4504,QLD,Narangba,Narangba,Narangba - Burpengary,Moreton Bay - North,1
Shepparton,3630,VIC,Shepparton,Shepparton - South East,Shepparton,Shepparton,3
Hindmarsh Valley,5211,SA,Willow Creek,Yankalilla,Fleurieu - Kangaroo Island,South Australia - South East,3
Balwyn North,3104,VIC,Mont Albert North,Box Hill North,Whitehorse - West,Melbourne - Inner East,1
Redfern,2016,NSW,Redfern,Redfern,Sydney Inner City,Sydney - City and Inner South,1
Elanora,4221,QLD,Palm Beach (Qld),Palm Beach,Mudgeeraba - Tallebudgera,Gold Coast,1
Hamlyn Terrace,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
West Mackay,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Jindalee,6036,WA,Jindalee (WA),Mindarie - Quinns Rocks - Jindalee,Wanneroo,Perth - North West,1
Alexandra Hills,4161,QLD,Birkdale,Capalaba,Cleveland - Stradbroke,Brisbane - East,1
Kimberley,7304,TAS,West Coast,Sheffield - Railton,Devonport,West and North West,5
Cosgrove,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,2
Golden Bay,6174,WA,Golden Bay,Singleton - Golden Bay - Secret Harbour,Rockingham,Perth - South West,1
Leederville,6007,WA,West Leederville,Wembley - West Leederville - Glendalough,Perth City,Perth - Inner,1
Clontarf,2093,NSW,North Balgowlah,Manly Vale - Allambie Heights,Warringah,Sydney - Northern Beaches,1
Innaloo,6018,WA,Woodlands (WA),Wembley Downs - Churchlands - Woodlands,Stirling,Perth - North West,1
Yarra Glen,3775,VIC,Yarra Glen,Healesville - Yarra Glen,Yarra Ranges,Melbourne - Outer East,2
Congarinni North,2447,NSW,Wirrimbi,Nambucca Heads Surrounds,Kempsey - Nambucca,Mid North Coast,5
Calderwood,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,2
Prahran,3181,VIC,Prahran,Prahran - Windsor,Stonnington - West,Melbourne - Inner,1
Oran Park,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,1
Burnside Heights,3023,VIC,Caroline Springs,Caroline Springs,Melton - Bacchus Marsh,Melbourne - West,1
Mornington,7018,TAS,Rokeby (Tas.),Rokeby,Hobart - North East,Hobart,2
Largs Bay,5016,SA,Largs North,North Haven,Port Adelaide - West,Adelaide - West,1
Coombs,2611,ACT,ACT Remainder - Rendezvous Creek,Namadgi,Weston Creek,Australian Capital Territory,1
Boonah,4310,QLD,Boonah (Qld),Boonah,Ipswich Hinterland,Ipswich,5
Australind,6233,WA,Wellesley (WA),Harvey,Bunbury,Bunbury,2
Rooty Hill,2766,NSW,Rooty Hill,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,1
Spearwood,6163,WA,Kardinya,Murdoch - Kardinya,Melville,Perth - South West,1
Tennyson Point,2111,NSW,Gladesville,Gladesville - Huntleys Point,Ryde - Hunters Hill,Sydney - Ryde,1
Wantirna South,3152,VIC,Wantirna South,Boronia,Knox,Melbourne - Outer East,1
Derrymore,4352,QLD,Gowrie Junction,Toowoomba - West,Toowoomba,Toowoomba,2
Mango Hill,4509,QLD,North Lakes,North Lakes,North Lakes,Moreton Bay - South,1
Moama,2731,NSW,Moama,Moama,Campaspe,Shepparton,3
Erina,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Nirimba,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,1
Largs North,5016,SA,Largs North,North Haven,Port Adelaide - West,Adelaide - West,1
South Grafton,2460,NSW,Shannon Vale,Glen Innes,Inverell - Tenterfield,New England and North West,3
Dundas,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,1
Narre Warren,3805,VIC,Narre Warren South,Narre Warren South - West,Casey - South,Melbourne - South East,1
Armadale,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,1
Engadine,2233,NSW,Woronora Heights,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
East Victoria Park,6101,WA,St James (WA),Bentley - Wilson - St James,Belmont - Victoria Park,Perth - South East,1
Traralgon East,3844,VIC,Woodside (Vic.),Yarram,Wellington,Latrobe - Gippsland,3
Rutherford,2320,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,1
Beechmont,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,5
Toorak,3142,VIC,Toorak,Toorak,Boroondara,Melbourne - Inner East,1
Balmain,2041,NSW,Balmain,Balmain,Leichhardt,Sydney - Inner West,1
Berwick,3806,VIC,Berwick,Berwick - South West,Casey - South,Melbourne - South East,1
Portland,3305,VIC,Portland (Vic.),Portland,Glenelg - Southern Grampians,Warrnambool and South West,4
Calwell,2905,ACT,Theodore (ACT),Theodore,Tuggeranong,Australian Capital Territory,1
