nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,Median total income($)
Aarons Pass,2850,NSW,Turill,Scone Surrounds,Upper Hunter,Hunter Valley exc Newcastle,46204
Abbotsbury,2176,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,51071
Abbotsford,2046,NSW,Chiswick,Five Dock - Abbotsford,Strathfield - Burwood - Ashfield,Sydney - Inner West,67196
Abbotsford,3067,VIC,Clifton Hill,Clifton Hill - Alphington,Yarra,Melbourne - Inner,67196
Abercrombie,2795,NSW,Ophir,Orange Surrounds,Orange,Central West,49855
Aberdare,2325,NSW,Putty,Singleton Surrounds,Lower Hunter,Hunter Valley exc Newcastle,52543
Aberdeen,2336,NSW,Upper Dartbrook,Scone Surrounds,Upper Hunter,Hunter Valley exc Newcastle,46204
Aberfoyle Park,5159,SA,Happy Valley (SA),Happy Valley Reservoir,Onkaparinga,Adelaide - South,53126
Aberglasslyn,2320,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,53583
Abergowrie,4850,QLD,Forrest Beach (Qld),Ingham Surrounds,Charters Towers - Ayr - Ingham,Townsville,47616
Acton Park,7170,TAS,Seven Mile Beach,Cambridge,Hobart - North East,Hobart,58616
Adamstown,2289,NSW,Kotara,Lambton - New Lambton,Newcastle,Newcastle and Lake Macquarie,56991
Adamstown Heights,2289,NSW,Kotara,Lambton - New Lambton,Newcastle,Newcastle and Lake Macquarie,58774
Adelaide,5000,SA,Adelaide,Adelaide,Adelaide City,Adelaide - Central and Hills,51728
Adelong,2729,NSW,Tumblong,Gundagai,Wagga Wagga,Riverina,44575
Advancetown,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,50440
Aeroglen,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,53353
Agnes Banks,2753,NSW,Agnes Banks,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,53387
Agnes Water,4677,QLD,Agnes Water,Agnes Water - Miriam Vale,Gladstone - Biloela,Fitzroy,37106
Ainslie,2602,ACT,Watson,Watson,North Canberra,Australian Capital Territory,72070
Aintree,3336,VIC,Fraser Rise,Fraser Rise - Plumpton,Melton - Bacchus Marsh,Melbourne - West,41055
Airds,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,61453
Airlie Beach,4802,QLD,Cannonvale,Airlie - Whitsundays,Whitsunday,Mackay,46282
Airport West,3042,VIC,Keilor East,Keilor East,Keilor,Melbourne - North West,60083
Aitkenvale,4814,QLD,Mundingburra,Mundingburra,Townsville,Townsville,49732
Alawa,810,NT,Wanguri,Wanguri,Darwin Suburbs,Darwin,53525
Alawoona,5311,SA,Waikerie,Waikerie,Murray and Mallee,South Australia - South East,42601
Albany Creek,4035,QLD,Albany Creek,Albany Creek,Hills District,Moreton Bay - South,58846
Albert Park,3206,VIC,Melbourne,Albert Park,Port Phillip,Melbourne - Inner,68933
Alberton,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,50657
Alberton,5014,SA,Alberton (SA),Port Adelaide,Port Adelaide - West,Adelaide - West,50657
Albion,4010,QLD,Windsor (Qld),Windsor,Brisbane Inner - North,Brisbane Inner City,56559
Albion Park,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,56559
Albion Park Rail,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,50000
Alderley,4051,QLD,Enoggera,Ashgrove,Brisbane Inner - West,Brisbane Inner City,65243
Aldinga Beach,5173,SA,Aldinga Beach,Aldinga,Onkaparinga,Adelaide - South,47202
Alexander Heights,6064,WA,Marangaroo,Marangaroo,Wanneroo,Perth - North West,47327
Alexandra,3714,VIC,Alexandra (Vic.),Alexandra,Upper Goulburn Valley,Hume,40199
Alexandra Headland,4572,QLD,Alexandra Headland,Mooloolaba - Alexandra Headland,Maroochy,Sunshine Coast,45754
Alexandra Hills,4161,QLD,Birkdale,Capalaba,Cleveland - Stradbroke,Brisbane - East,54024
Alexandria,2015,NSW,Beaconsfield (NSW),Rosebery - Beaconsfield,Sydney Inner City,Sydney - City and Inner South,83036
Alfords Point,2234,NSW,Bangor (NSW),Menai - Lucas Heights - Woronora,Sutherland - Menai - Heathcote,Sydney - Sutherland,61584
Alfredton,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,55204
Algester,4115,QLD,Parkinson,Parkinson - Drewvale,Sunnybank,Brisbane - South,50097
Alkimos,6038,WA,Alkimos,Alkimos - Eglinton,Wanneroo,Perth - North West,60425
Allambie Heights,2100,NSW,Oxford Falls,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,62593
Allawah,2218,NSW,Carlton (NSW),Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,49958
