claim_start_date,claim_id,tenure,exposure_id,claim_status,condition_category,claim_paid,total_claim_amount,nb_postcode,nb_suburb,nb_state,median_income,UW_Date,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,exposure_id_1,row_num,earned_units,SA1,SA2,SA3,SA4,mm_category
2024-01-01T00:00:00Z,claim_17062002-de5a-4685-9e50-4c0b5471b376,1,exposure_dd70c3e1-153c-4cb0-b3b7-3e2979781109,covered_with_exclusions_paid,Gastrointestinal Issues,202.4272727272727,373.0363636363636,2484,South Murwillumbah,NSW,42239,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-04T17:00:00Z,2,80,100,House,2004-02-13,80100,0-6 months,19,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,2023-12-05T15:54:36Z,Afternoon (12:00 - 17:59),exposure_dd70c3e1-153c-4cb0-b3b7-3e2979781109,1,1,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,1
2024-01-01T00:00:00Z,claim_a9781ab9-3387-4aed-bb8a-86a6eac26832,2,exposure_adedd3f4-ba5b-4088-807c-e1e88fc02923,covered_paid,Other,4551.745454545454,5780.5999999999995,2208,Kingsgrove,NSW,50360,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-11-04T17:00:00Z,5,80,100,House,1980-02-24,80100,0-6 months,43,1,3,purebred,brachycephalic,british bulldog,british bulldog,TRUE,0,2023-11-05T16:05:48Z,Afternoon (12:00 - 17:59),exposure_adedd3f4-ba5b-4088-807c-e1e88fc02923,1,1,Kingsgrove,Bexley - North,Kogarah - Rockdale,Sydney - Inner South West,1
2024-01-02T00:00:00Z,claim_2ebaa727-19b4-4e56-9bc4-88376553251e,1,exposure_9e75dd9c-ca65-4dda-b226-dbe9f15083d3,covered_paid,Allergies & skin,166.84545454545454,166.84545454545454,2259,Hamlyn Terrace,NSW,49779,2024-01-01T00:00:00Z,female,TRUE,1-2 years,FALSE,2023-11-30T17:00:00Z,27,100,100,House,1991-09-24,100100,2 years,32,1,2,purebred,collie related,border collie,border collie,FALSE,0,2023-11-03T16:51:35Z,Afternoon (12:00 - 17:59),exposure_9e75dd9c-ca65-4dda-b226-dbe9f15083d3,1,1,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
2024-01-02T00:00:00Z,claim_30498a56-7697-4e99-9a6b-9938885204e2,1,exposure_f4850526-93f6-432b-bd52-ab9cca76c7a6,covered_with_exclusions_paid,Allergies & skin,138.54545454545453,309.5454545454545,2041,Balmain,NSW,84954,2024-01-01T00:00:00Z,female,TRUE,0-3 months,FALSE,2023-11-30T17:00:00Z,40,80,0,Apartment,1987-06-04,800,3 years,36,1,1,purebred,brachycephalic,cavalier king charles spaniel,cavalier king charles spaniel,TRUE,0,2023-11-22T17:11:37Z,Afternoon (12:00 - 17:59),exposure_f4850526-93f6-432b-bd52-ab9cca76c7a6,1,1,Balmain,Balmain,Leichhardt,Sydney - Inner West,1
2024-01-02T00:00:00Z,claim_457caba3-e201-4731-92d4-f3fd102fe115,1,exposure_de26b1c1-7974-4c34-8e2b-2160e31f304d,covered_with_exclusions_paid,Injuries,71.27272727272727,184.54545454545453,2041,Balmain,NSW,84954,2024-01-01T00:00:00Z,female,TRUE,4-6 months,FALSE,2023-11-30T17:00:00Z,25,80,0,Apartment,1987-06-04,800,2 years,36,1,1,designerbreed,water dog,cavoodle,cavoodle,TRUE,0,2023-11-22T17:11:37Z,Afternoon (12:00 - 17:59),exposure_de26b1c1-7974-4c34-8e2b-2160e31f304d,1,1,Balmain,Balmain,Leichhardt,Sydney - Inner West,1
2024-01-02T00:00:00Z,claim_93e34079-b930-40db-9b88-c35d7cd73605,2,exposure_53ba37b1-0a42-44ec-911a-2b04c7768e63,covered_with_exclusions_paid,Eyes & ears,217.5272727272727,1153.990909090909,3121,Richmond,VIC,42184,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-11-15T17:00:00Z,5,80,100,House,1967-12-04,80100,0-6 months,55,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2023-11-16T12:55:36Z,Afternoon (12:00 - 17:59),exposure_53ba37b1-0a42-44ec-911a-2b04c7768e63,1,1,Richmond (Vic.),Richmond - North,Yarra,Melbourne - Inner,1
2024-01-02T00:00:00Z,claim_b67d41b3-3775-403d-9aa3-51c0c799e9eb,1,exposure_b2fc85fc-18a8-4dd8-b3e5-14f88bf84f5d,covered_paid,Other,37.090909090909086,46.36363636363636,3103,Balwyn,VIC,51703,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-18T17:00:00Z,37,80,0,House,1975-08-01,800,3 years,48,1,3,purebred,pointer,dalmatian,dalmatian,FALSE,0,2023-12-18T14:54:24Z,Afternoon (12:00 - 17:59),exposure_b2fc85fc-18a8-4dd8-b3e5-14f88bf84f5d,1,1,Balwyn,Balwyn,Boroondara,Melbourne - Inner East,1
2024-01-02T00:00:00Z,claim_cb48cb01-77c7-48e1-9d6b-d9f7fbd630f3,1,exposure_3c8f91a3-5512-4d82-b385-7c15285f592f,covered_with_exclusions_paid,"Allergies & skin, Routine Care and Examinations",222.98181818181817,256.16363636363633,3126,Canterbury,VIC,43758,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-02T17:00:00Z,4,90,100,House,1992-09-09,90100,0-6 months,31,1,2,purebred,collie related,border collie,border collie,FALSE,0,2023-12-03T15:28:59Z,Afternoon (12:00 - 17:59),exposure_3c8f91a3-5512-4d82-b385-7c15285f592f,1,1,Canterbury (Vic.),Surrey Hills (West) - Canterbury,Boroondara,Melbourne - Inner East,1
2024-01-02T00:00:00Z,claim_df7d427f-cdfd-451d-9045-0bb05ac4d1c1,2,exposure_afc344de-c9c6-408d-a561-2b0211ec59d5,covered_paid,Gastrointestinal Issues,507.6727272727273,634.590909090909,3427,Diggers Rest,VIC,54031,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-11-20T17:00:00Z,3,80,100,House,1995-07-25,80100,0-6 months,28,1,2,designerbreed,water dog,mini groodle,mini groodle,FALSE,0,2023-11-21T18:44:11Z,Evening (18:00 - 23:59),exposure_afc344de-c9c6-408d-a561-2b0211ec59d5,1,1,Diggers Rest,Sunbury - South,Melton - Bacchus Marsh,Melbourne - West,1
2024-01-03T00:00:00Z,claim_0d69f5c8-fd2a-4103-bc15-1e2dbf85cce6,2,exposure_9b2bf6c4-1291-4028-ad1c-17fcab22fc06,covered_paid,Injuries,131.7090909090909,237.25454545454545,4702,Gracemere,QLD,56388,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-11-18T17:00:00Z,2,90,100,House,1977-11-19,90100,0-6 months,46,1,2,purebred,brachycephalic,french bulldog,french bulldog,TRUE,0,2023-11-19T08:37:09Z,Morning (05:00 - 11:59),exposure_9b2bf6c4-1291-4028-ad1c-17fcab22fc06,1,1,Kokotungo,Banana,Rockhampton,Fitzroy,2
